name,rating,review_count,address,cuisine,price,yelp_url
Village Pizza & Pints,4.2,165,"236 B St, Davis, CA 95616",['Pizza'],$$,https://www.yelp.com/biz/PkDJJErOl6XQiUFsj1pl_A
Well Season,3.7,239,"1753 Research Park Dr, Davis, CA 95618","['Dim Sum', 'Cantonese', 'Seafood']",$$,https://www.yelp.com/biz/sM0KPs-ognvqXhHpTraBDw
Pho Yummy,4.1,16,"229 G St, Davis, CA 95616",['Vietnamese'],Unknown,https://www.yelp.com/biz/cx1SjjtMZEgsSNkwmA9vqw
Thai Canteen,3.7,1146,"117 E St, Davis, CA 95616","['Thai', 'Noodles']",$$,https://www.yelp.com/biz/1g8fx1DXNpf7RTBuzcd-lA
Upper Crust Baking,4.1,167,"634 G St, Davis, CA 95616","['Bakeries', 'Desserts', 'Pizza']",$$,https://www.yelp.com/biz/P0DxZLXc-kNVu6rFOswgUg
Royal Kabob & Falafel,4.3,36,"640 W Covell Blvd, Ste A, Davis, CA 95616","['Falafel', 'Burgers', 'Kebab']",Unknown,https://www.yelp.com/biz/Gy4Tm464YC27eJHjam44BQ
Pho Tasty,3.9,196,"301 G St, Davis, CA 95616","['Vietnamese', 'Noodles']",$$,https://www.yelp.com/biz/3yAjUfnfitvaTVJeZmkskw
Wok of Flame,4.0,639,"417 Mace Blvd, Davis, CA 95618","['Chinese', 'Desserts']",$$,https://www.yelp.com/biz/k0VO4SlsDXV8YVFk3HRZxg
Tim’s Hawaiian BBQ,4.0,48,"516 2nd St, Davis, CA 95616","['Ramen', 'Hawaiian', 'Barbeque']",Unknown,https://www.yelp.com/biz/nr1eTIu8MUoL--onct98Aw
Cajun Feast,3.7,195,"206 3rd St, Davis, CA 95616","['Cajun/Creole', 'Asian Fusion']",$$,https://www.yelp.com/biz/aMp92JmMuDowzWJ3dK404Q
Davis Sushi & Fusion,4.3,27,"1260 Lake Blvd, Ste 103, Davis, CA 95616","['Sushi Bars', 'Noodles']",Unknown,https://www.yelp.com/biz/hhsNL_9szjqiQ9NJ0C1LHw
Yeti Restaurant,4.1,459,"234 E St, Davis, CA 95616","['Indian', 'Himalayan/Nepalese', 'Seafood']",$$,https://www.yelp.com/biz/020ZLMQtsF2t7G4klDPsvw
Crepeville,3.8,1151,"330 3rd St, Davis, CA 95616","['Breakfast & Brunch', 'Creperies', 'Sandwiches']",$$,https://www.yelp.com/biz/RXomRj2iuax6tLVQ2rwcKQ
Taqueria Guadalajara - North Davis,4.1,993,"640 W Covell Blvd, Ste E, Davis, CA 95616",['Mexican'],$,https://www.yelp.com/biz/NdAR7BkgrDm-j_1TLzqt0w
Little Shu,4.9,13,"1260 Lake Blvd, Davis, CA 95616",['Chinese'],Unknown,https://www.yelp.com/biz/sq4lBgHl1v18v6Ujhhu1Kg
Nick the Greek,4.1,148,"206 E St, Davis, CA 95616",['Greek'],$$,https://www.yelp.com/biz/2xrc7y2qR7mXaN1dxIEDaQ
Zumapoke & Lush Ice,4.3,648,"730 3rd St, Davis, CA 95616","['Seafood', 'Hawaiian', 'Poke']",$$,https://www.yelp.com/biz/G-2WsNWae16e88bVO5Kh6A
Baba’s Chaska Point,4.8,8,"1935 Anderson Rd, Davis, CA 95618","['Food Trucks', 'Burgers', 'Pakistani']",Unknown,https://www.yelp.com/biz/ow9j-WTfLU6Wxh-F-EWruw
Local Kitchens,3.7,111,"500 1st St, Ste 13a, Davis, CA 95616","['Mexican', 'Salad', 'Burgers']",$$,https://www.yelp.com/biz/HPOQjQVP4FgkNEO7j8b1VA
Falafel Corner,4.6,74,"720 2nd St, Davis, CA 95616","['Mediterranean', 'Halal', 'Greek']",Unknown,https://www.yelp.com/biz/qL1BOWW5WrlaHntx19EpVA
Woodstock's Pizza,3.9,1098,"238 G St, Davis, CA 95616","['Pizza', 'Gluten-Free', 'Vegetarian']",$$,https://www.yelp.com/biz/BcoTEYalRP6SR7gDn_VefA
